frame,id,x1,y1,x2,y2,vehicles_in_frame
13,2,1510,409,1576,479,12
13,2,1490,498,1562,577,12
13,2,1422,343,1481,421,12
13,2,1389,464,1490,563,12
13,2,1524,330,1582,395,12
13,2,432,454,559,547,12
13,2,1471,158,1543,201,12
13,2,1400,234,1458,286,12
13,2,1345,348,1407,425,12
13,2,1328,626,1411,702,12
13,2,1369,184,1427,243,12
14,2,1403,287,1455,340,9
14,2,1507,409,1573,478,9
14,2,1485,498,1558,577,9
14,2,1419,337,1478,416,9
14,2,1386,434,1490,539,9
14,2,1520,331,1576,394,9
14,2,1401,228,1459,280,9
14,2,1347,333,1405,405,9
14,2,1336,615,1415,687,9
15,2,1411,280,1462,333,11
15,2,1514,410,1580,479,11
15,2,1492,499,1565,578,11
15,2,1427,333,1486,411,11
15,2,1399,419,1496,520,11
15,2,1528,331,1584,393,11
15,2,428,430,574,538,11
15,2,1409,219,1466,270,11
15,2,1362,326,1415,391,11
15,2,1351,551,1432,647,11
15,2,1302,401,1376,492,11
16,2,1404,274,1454,326,11
16,2,1507,409,1573,478,11
16,2,1486,500,1557,577,11
16,2,1421,327,1482,407,11
16,2,1400,412,1487,504,11
16,2,1520,329,1579,394,11
16,2,425,430,573,539,11
16,2,1357,316,1408,379,11
16,2,1357,556,1415,625,11
16,2,1318,378,1368,437,11
16,2,1462,160,1558,204,11
17,2,1406,265,1457,318,11
17,2,1510,410,1575,478,11
17,2,1489,500,1561,578,11
17,2,1428,320,1492,403,11
17,2,1410,408,1489,492,11
17,2,1524,330,1583,394,11
17,2,1416,208,1475,261,11
17,2,1363,302,1418,370,11
17,2,1362,555,1412,615,11
17,2,1331,361,1369,407,11
17,2,1476,161,1571,204,11
18,2,1404,254,1456,308,9
18,2,1508,411,1573,478,9
18,2,1488,499,1561,577,9
18,2,1431,312,1495,394,9
18,2,1413,402,1486,479,9
18,2,1524,330,1583,394,9
18,2,1423,200,1481,253,9
18,2,1366,295,1419,361,9
18,2,1484,160,1579,203,9
19,2,1405,244,1456,298,10
19,2,1507,410,1572,479,10
19,2,1479,480,1567,577,10
19,2,1436,292,1501,374,10
19,2,1418,386,1486,459,10
19,2,1519,330,1579,396,10
19,2,1371,291,1420,351,10
19,2,1489,160,1583,203,10
19,2,1368,480,1448,562,10
19,2,1322,638,1403,726,10
20,2,1409,231,1460,286,12
20,2,1507,410,1572,479,12
20,2,1480,475,1571,577,12
20,2,1440,282,1504,364,12
20,2,1425,371,1491,442,12
20,2,1518,330,1579,396,12
20,2,528,389,638,477,12
20,2,1379,283,1427,340,12
20,2,1375,458,1458,542,12
20,2,1329,636,1400,714,12
20,2,322,491,479,615,12
20,2,343,421,458,521,12
21,2,1410,220,1457,270,11
21,2,1504,411,1569,479,11
21,2,1482,489,1561,577,11
21,2,1425,358,1488,427,11
21,2,520,395,631,483,11
21,2,1378,270,1427,327,11
21,2,1385,457,1446,518,11
21,2,322,491,480,615,11
21,2,334,427,449,527,11
21,2,1314,559,1451,682,11
21,2,1280,416,1372,506,11
22,2,1421,207,1468,257,10
22,2,1512,411,1577,478,10
22,2,1492,496,1565,577,10
22,2,1435,344,1499,413,10
22,2,1526,330,1585,394,10
22,2,1393,258,1440,312,10
22,2,1395,426,1469,500,10
22,2,326,491,483,615,10
22,2,1331,546,1455,659,10
22,2,1295,413,1379,495,10
